,sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,directionOfTravel,distFromRef,disFromLink
0,14966,6/26/2009 8:54:59 AM,13,52.427429119125,9.72691968083382,100,140,96,51921783.0,F,63.55249984234882,13.439855391501101
1,14966,6/26/2009 8:55:05 AM,13,52.4273427855223,9.73035785369575,102,140,91,708470043.0,F,106.56202730840153,21.962126896413707
2,14966,6/26/2009 8:55:10 AM,13,52.42735275998711,9.73322915844619,102,141,89,708470042.0,F,568.1994363297549,19.69207764392732
3,14966,6/26/2009 8:55:16 AM,13,52.4273460544646,9.73666632547975,99,140,90,708470042.0,F,287.10494209869626,19.505986482158143
4,14966,6/26/2009 8:55:21 AM,13,52.4273358285427,9.73953419364989,96,140,91,708470042.0,F,-17.804264150027517,19.857307768499748
5,14966,6/26/2009 8:55:27 AM,13,52.427307581529,9.7429699357599,95,140,90,724904578.0,F,-4.853253564380481,22.355458981803448
6,14966,6/26/2009 8:55:43 AM,13,52.4271499179304,9.75211442448199,96,140,92,724712669.0,F,-3.6951315903917976,22.685368107554126
7,14966,6/26/2009 8:55:48 AM,13,52.4270799290389,9.75496795959771,96,140,92,540641096.0,F,-105.20361741560825,22.9982594793453
8,14966,6/26/2009 8:55:53 AM,13,52.427017651498296,9.757825937122108,96,140,92,540641096.0,F,-48.56265312824124,22.48445607536196
9,14966,6/26/2009 8:55:58 AM,13,52.42695135064421,9.76068165153265,96,140,92,540641094.0,F,-62.83927093621409,22.383929479853812
10,14966,6/26/2009 8:56:04 AM,13,52.426882032305,9.764111693948509,96,140,91,769248320.0,T,92.36932964706445,22.837959479398172
11,14966,6/26/2009 8:56:10 AM,13,52.4268824514002,9.767540646716949,96,140,88,769248320.0,T,279.99734296964584,17.47881341087371
12,14966,6/26/2009 8:56:15 AM,13,52.4269735626876,9.77039703167975,96,140,86,769248320.0,T,476.98905225732574,2.9164991712205732
13,14982,6/26/2009 9:01:24 AM,13,52.3944189213216,9.92440293543041,114,124,101,724664911.0,F,506.52241445049674,17.58114287944313
14,14982,6/26/2009 9:01:29 AM,13,52.39411951974029,9.92683947086334,113,121,102,724664911.0,F,583.9608970679169,16.538762994936544
15,14982,6/26/2009 9:01:34 AM,13,52.39381751976911,9.92920098826289,113,116,102,724664911.0,F,197.5955925443391,16.80948356332362
16,14982,6/26/2009 9:01:39 AM,13,52.3934749513865,9.93158312514424,114,119,102,724664911.0,F,158.27024523007577,21.206887450881023
17,14982,6/26/2009 9:01:44 AM,13,52.3931929841638,9.93363576941192,114,94,103,724664911.0,F,3.461020410308632,23.5524130282701
18,14982,6/26/2009 9:01:49 AM,13,52.392961643636205,9.93541901931167,113,87,102,724664910.0,F,722.8245474951055,23.294838004242433
19,14982,6/26/2009 9:01:54 AM,13,52.392741618677995,9.93719724006951,112,89,102,724664910.0,F,540.2017024078337,22.81087078833898
20,14982,6/26/2009 9:02:00 AM,13,52.39248219877479,9.93932272307575,109,85,102,724664910.0,F,591.0279656736237,21.839227444093588
21,14982,6/26/2009 9:02:05 AM,13,52.3922656942159,9.94104059413075,109,85,101,724664910.0,F,189.63842975816914,21.794955315504076
22,14982,6/26/2009 9:02:10 AM,13,52.3920536320657,9.94269828312099,110,83,102,724664910.0,F,214.18852176651566,22.091679284476253
23,14982,6/26/2009 9:02:15 AM,13,52.391837295144796,9.9444071855396,111,85,102,724664910.0,F,-40.917657986575925,22.14680145147478
24,14982,6/26/2009 9:02:20 AM,13,52.391618527472,9.94611508212984,111,84,102,724664910.0,F,-57.88332247884317,22.477585728449462
25,14982,6/26/2009 9:02:25 AM,13,52.3913909588009,9.94787871837616,111,91,102,572247733.0,F,-22.443670150688863,23.229552072368794
26,14982,6/26/2009 9:02:30 AM,13,52.391166659072,9.94969767518342,111,89,101,572247733.0,F,-14.403233229609556,23.576261123528383
27,14982,6/26/2009 9:02:35 AM,13,52.390965744853,9.951426945626741,110,83,101,572247732.0,F,315.1178341576824,22.072030655437736
28,14982,6/26/2009 9:02:41 AM,13,52.3907521739602,9.953396357595919,109,81,99,572247732.0,F,91.9641373580441,24.920480006767118
29,14982,6/26/2009 9:02:46 AM,13,52.390571292489795,9.95510467328131,109,87,101,572247732.0,F,-13.368869697601186,26.907575175844563
30,14982,6/26/2009 9:02:51 AM,13,52.39039133302871,9.95690703392029,109,88,98,711697644.0,F,-7.244237967429188,29.213263699590097
31,14982,6/26/2009 9:02:56 AM,13,52.3902149777859,9.95857838541269,108,79,104,67951826.0,F,87.633372593231,51.176302125990645
32,14982,6/26/2009 9:03:01 AM,13,52.3899197671562,9.96000062674284,110,68,109,67951827.0,F,130.04442281201597,73.91513893568018
33,14984,6/26/2009 9:13:46 AM,13,52.3861136287451,9.95392492040992,101,48,74,716348914.0,B,-6.759796879034622,13.244787514366653
34,14984,6/26/2009 9:13:57 AM,13,52.386927427724,9.956821622326972,106,78,60,716348914.0,B,206.69863968135675,21.56931041488276
35,14984,6/26/2009 9:14:02 AM,13,52.387434029951706,9.95822986587882,106,80,60,716348914.0,B,327.0027073098025,50.39262986184063
36,14984,6/26/2009 9:14:07 AM,13,52.387921186164,9.95963936671615,108,76,61,716348914.0,B,459.5209951737737,77.11113668595975
37,15448,6/21/2009 7:20:28 PM,13,52.25463341921571,9.6331135276705,115,114,186,554731790.0,B,5.744628321177526,2.283226969422088
38,15448,6/21/2009 7:20:33 PM,13,52.253219727426796,9.63306021876633,115,112,176,554731789.0,B,13.536133838784533,9.37147793571915
39,15448,6/21/2009 7:20:38 PM,13,52.2518524713814,9.63344804942608,116,112,168,554731783.0,B,268.42967567002677,7.58498494375134
40,15449,6/21/2009 7:14:23 PM,13,52.325253048911705,9.68069784343243,113,90,236,554733684.0,F,80.13142729667014,1.5670271150259378
41,15449,6/21/2009 7:14:28 PM,13,52.3247118294239,9.67902992852032,112,93,248,554733683.0,F,45.17976170675295,2.116668359463218
42,15449,6/21/2009 7:14:38 PM,13,52.32377707958221,9.67524482868612,112,103,244,51926398.0,F,160.6279422194345,6.677303838009723
43,15449,6/21/2009 7:14:43 PM,13,52.323097726330204,9.673456884920599,111,102,234,554731998.0,F,23.69665023689073,1.7759295234173689
44,15449,6/21/2009 7:14:48 PM,13,52.322240928188,9.67195308767259,111,98,218,554732050.0,F,363.1868257750219,8.826307051011888
45,15449,6/21/2009 7:14:53 PM,13,52.3213281389326,9.67065556906164,111,91,217,554732050.0,F,261.5712136181668,2.7921947091863806
46,15449,6/21/2009 7:14:58 PM,13,52.3204632941633,9.669497692957519,111,85,219,554732050.0,F,32.933460105167285,0.8843176634752621
47,15449,6/21/2009 7:15:02 PM,13,52.319828784093296,9.66865682043135,111,79,219,554732050.0,F,-13.065620709151572,0.05740463412706009
48,15449,6/21/2009 7:15:08 PM,13,52.318971818312995,9.667483689263461,111,71,219,554732051.0,F,95.63990123776149,3.435764035745743
49,15449,6/21/2009 7:15:28 PM,13,52.3162408266217,9.66386086307466,110,71,219,749427441.0,F,204.28595675544415,2.3204135106523305
50,15449,6/21/2009 7:15:33 PM,13,52.315514953807,9.66289317235351,110,78,219,717669003.0,F,92.10472350701272,4.984502769434105
51,17754,6/28/2009 12:18:04 PM,13,52.4771154485643,9.8514377977699,110,114,152,554713752.0,T,87.2757922231233,3.2740930928242293
52,17754,6/28/2009 12:18:09 PM,13,52.475833017378996,9.85248352400959,111,114,154,704478844.0,T,256.2144090192685,16.361729197875842
53,17754,6/28/2009 12:18:14 PM,13,52.474549161270296,9.85349186696112,112,113,155,704478844.0,T,176.59765362954454,8.412520781386679
54,17754,6/28/2009 12:18:20 PM,13,52.473005382344105,9.8546205740422,111,113,157,51921706.0,T,440.69720252693514,40.45784831354537
55,17754,6/28/2009 12:18:25 PM,13,52.47171356342729,9.85547686927021,109,113,159,51921706.0,T,311.6133112124573,22.5874024701454
56,17754,6/28/2009 12:18:30 PM,13,52.4703848641366,9.85626133158803,110,113,161,51921706.0,T,167.11092335352177,10.506175540243321
57,17754,6/28/2009 12:18:35 PM,13,52.469039820134604,9.856953928247089,108,113,163,51921706.0,T,-0.6086935490901061,4.919043474065469
58,17754,6/28/2009 12:18:40 PM,13,52.4676667805761,9.857573769986631,108,114,166,554713754.0,T,607.5495977997114,55.18311391476547
59,17754,6/28/2009 12:18:45 PM,13,52.466255268082,9.858113899827,109,117,168,554713754.0,T,491.67616219409786,32.30216265127663
60,17754,6/28/2009 12:18:50 PM,13,52.4654722306877,9.858347671106461,109,117,168,554713754.0,T,349.8714010045732,24.06431018056533
61,17754,6/28/2009 12:18:55 PM,13,52.4639437906444,9.85869007185102,108,117,173,554713754.0,T,197.46000844266104,15.689869074701598
62,17754,6/28/2009 12:19:00 PM,13,52.462302027270205,9.858958628028631,108,117,175,554713754.0,T,-7.394265022148383,13.407016575424326
63,17754,6/28/2009 12:19:05 PM,13,52.460784818977096,9.85913288779557,109,117,176,554713753.0,T,654.7124654977512,47.84555284917218
64,17754,6/28/2009 12:19:10 PM,13,52.459298372268705,9.85932659357786,110,116,176,554713753.0,T,447.17949325509153,27.741460604926697
65,17754,6/28/2009 12:19:15 PM,13,52.457833886146496,9.85954988747835,110,116,174,554713753.0,T,319.34100200330573,10.095123642600461
66,17754,6/28/2009 12:19:20 PM,13,52.456386247649796,9.85985968261957,110,115,172,554713753.0,T,175.06086693107412,1.418505952160487
67,17754,6/28/2009 12:19:25 PM,13,52.4549360945821,9.86027425155044,107,115,169,554713753.0,T,-21.132343355185238,6.012352185101147
68,17754,6/28/2009 12:19:30 PM,13,52.453537825495005,9.860844220966099,106,115,165,51921719.0,T,381.0511546646376,26.576768052130113
69,17754,6/28/2009 12:19:35 PM,13,52.4521192722023,9.86152692697942,106,116,162,51921719.0,T,255.48887401280106,9.658527510575523
70,17754,6/28/2009 12:19:40 PM,13,52.450702479109204,9.862326895818109,106,116,160,51921719.0,T,70.90693135173565,0.1887716645249015
71,17754,6/28/2009 12:19:45 PM,13,52.44931929744779,9.8632359970361,107,117,157,51921720.0,T,64.81097063970849,1.9716309926126911
72,17754,6/28/2009 12:19:50 PM,13,52.4479753430933,9.86426847986877,107,116,153,554713756.0,T,211.49891932243082,3.2418428310665632
73,17754,6/28/2009 12:19:55 PM,13,52.44668528437611,9.865379165858029,109,114,151,554713756.0,T,93.02410228506507,3.3677140217167305
74,17754,6/28/2009 12:20:00 PM,13,52.4455203674734,9.866485074162481,109,102,149,792551287.0,T,221.4607553502627,0.377768553081983
75,17754,6/28/2009 12:20:05 PM,13,52.444465672597296,9.867561226710679,110,96,147,792551287.0,T,31.85875929359499,4.842926847353392
76,17754,6/28/2009 12:20:10 PM,13,52.4434807989746,9.8686326853931,109,91,146,792551286.0,T,275.9957160598483,5.14014579299824
77,17754,6/28/2009 12:20:14 PM,13,52.4427328817546,9.8694770783186,108,89,145,792551286.0,T,197.2710199446696,0.8451877656864014
78,17754,6/28/2009 12:20:20 PM,13,52.4416299909353,9.870769232511519,107,89,144,792551286.0,T,82.17491236734644,2.9353505487182185
79,17754,6/28/2009 12:20:25 PM,13,52.4407171178609,9.87185535952449,106,90,144,783508109.0,T,-0.4483785587434924,5.155106678289822
80,17754,6/28/2009 12:20:30 PM,13,52.4398053344339,9.87295933999121,105,90,143,783508108.0,T,-18.23584010217178,5.486379468864144
81,17754,6/28/2009 12:20:40 PM,13,52.438012361526496,9.87513469532132,102,89,143,792551291.0,T,-65.9552933424612,6.563276427650669
82,17754,6/28/2009 12:20:46 PM,13,52.436924977228,9.87645861692727,100,90,144,792551290.0,T,-26.350946693753308,6.860468538381305
83,17754,6/28/2009 12:20:51 PM,13,52.4360102601349,9.87753979861736,99,90,144,554713742.0,T,126.03340035356452,8.648779311793986
84,17754,6/28/2009 12:20:56 PM,13,52.435069475323,9.87862693145871,99,93,145,554713742.0,T,-10.876486791047228,7.918728851539297
85,17754,6/28/2009 12:21:01 PM,13,52.43410957977179,9.879712723195551,100,94,146,554713742.0,T,-17.688494813302373,8.476191614365657
86,17754,6/28/2009 12:21:06 PM,13,52.4331184197217,9.88077479414642,101,93,147,554745485.0,T,24.030632122251735,9.805584755864295
87,17754,6/28/2009 12:21:11 PM,13,52.43215039372439,9.881790764629839,100,90,148,554745486.0,T,144.89833326550428,10.908589181518073
